dtpricon;metastaticos;pop;obito1ano
2000;não metastáticos; 801;113
2000;metastáticos; 232; 94
2001;não metastáticos; 871;114
2001;metastáticos; 292;130
2002;não metastáticos;1218;201
2002;metastáticos; 369;163
2003;não metastáticos;1335;199
2003;metastáticos; 399;183
2004;não metastáticos;1494;242
2004;metastáticos; 489;225
2005;não metastáticos;1945;299
2005;metastáticos; 579;257
2006;não metastáticos;2000;265
2006;metastáticos; 640;239
2007;não metastáticos;2138;262
2007;metastáticos; 711;258
2008;não metastáticos;2468;308
2008;metastáticos; 771;280
2009;não metastáticos;2669;317
2009;metastáticos; 896;331
2010;não metastáticos;3239;411
2010;metastáticos;1024;368
2011;não metastáticos;3481;432
2011;metastáticos;1223;446
2012;não metastáticos;3483;366
2012;metastáticos;1200;411
2013;não metastáticos;3983;480
2013;metastáticos;1302;478
2014;não metastáticos;4096;477
2014;metastáticos;1395;500
2015;não metastáticos;4084;424
2015;metastáticos;1495;543
2016;não metastáticos;3781;435
2016;metastáticos;1480;500
2017;não metastáticos;3470;327
2017;metastáticos;1326;426
2018;não metastáticos;1690;180
2018;metastáticos; 635;218
