dtpricon;fetar;pop;obito1ano
2000;<60; 230; 97
2000;>=60; 232; 94
2001;<60; 278;110
2001;>=60; 292;130
2002;<60; 334;128
2002;>=60; 369;163
2003;<60; 385;161
2003;>=60; 399;183
2004;<60; 396;158
2004;>=60; 489;225
2005;<60; 549;227
2005;>=60; 579;257
2006;<60; 633;219
2006;>=60; 640;239
2007;<60; 681;189
2007;>=60; 711;258
2008;<60; 798;256
2008;>=60; 771;280
2009;<60; 853;265
2009;>=60; 896;331
2010;<60; 967;309
2010;>=60;1024;368
2011;<60;1110;318
2011;>=60;1223;446
2012;<60;1117;344
2012;>=60;1200;411
2013;<60;1249;371
2013;>=60;1302;478
2014;<60;1200;310
2014;>=60;1395;500
2015;<60;1263;342
2015;>=60;1495;543
2016;<60;1180;340
2016;>=60;1480;500
2017;<60;1082;282
2017;>=60;1326;426
2018;<60; 416; 96
2018;>=60; 635;218
