dtpricon;pop;obitos;obito1ano;letalidade;idosos;estadio
2000; 462; 354;191;0,76623377; 232;IV
2001; 570; 420;240;0,73684211; 292;IV
2002; 703; 519;291;0,73826458; 369;IV
2003; 784; 585;344;0,74617347; 399;IV
2004; 885; 639;383;0,72203390; 489;IV
2005;1128; 833;484;0,73847518; 579;IV
2006;1273; 825;458;0,64807541; 640;IV
2007;1392; 859;447;0,61709770; 711;IV
2008;1569; 972;536;0,61950287; 771;IV
2009;1749;1098;596;0,62778731; 896;IV
2010;1991;1275;677;0,64038172;1024;IV
2011;2333;1435;764;0,61508787;1223;IV
2012;2317;1413;755;0,60984031;1200;IV
2013;2551;1504;849;0,58957272;1302;IV
2014;2595;1422;810;0,54797688;1395;IV
2015;2758;1455;885;0,52755620;1495;IV
2016;2660;1258;840;0,47293233;1480;IV
2017;2408; 979;708;0,40656146;1326;IV
2018;1051; 340;314;0,32350143; 635;IV
2000;1455; 691;168;0,47491409; 801;I a III
2001;1646; 726;165;0,44106926; 871;I a III
2002;2219; 977;288;0,44028842;1218;I a III
2003;2448;1093;303;0,44648693;1335;I a III
2004;2798;1191;340;0,42566119;1494;I a III
2005;3415;1322;391;0,38711567;1945;I a III
2006;3563;1195;371;0,33539152;2000;I a III
2007;3888;1207;367;0,31044239;2138;I a III
2008;4400;1307;424;0,29704545;2468;I a III
2009;4886;1385;440;0,28346296;2669;I a III
2010;5677;1650;569;0,29064647;3239;I a III
2011;6137;1591;591;0,25924719;3481;I a III
2012;6022;1371;502;0,22766523;3483;I a III
2013;6809;1442;654;0,21177853;3983;I a III
2014;7057;1320;626;0,18704832;4096;I a III
2015;6923;1147;565;0,16567962;4084;I a III
2016;6449; 920;584;0,14265778;3781;I a III
2017;5811; 652;455;0,11220100;3470;I a III
2018;2772; 244;227;0,08802309;1690;I a III
