dtpricon;pop;obitos;estadio1a3;estadio4;obito1ano;letalidade;idosos
2000;1033; 618;0; 232;207;0,5982575;>=60 anos
2001;1163; 667;0; 292;244;0,5735168;>=60 anos
2002;1587; 925;0; 369;364;0,5828607;>=60 anos
2003;1734; 981;0; 399;382;0,5657439;>=60 anos
2004;1983;1100;0; 489;467;0,5547151;>=60 anos
2005;2524;1331;0; 579;556;0,5273376;>=60 anos
2006;2640;1192;0; 640;504;0,4515152;>=60 anos
2007;2849;1222;0; 711;520;0,4289224;>=60 anos
2008;3239;1337;0; 771;588;0,4127817;>=60 anos
2009;3565;1471;0; 896;648;0,4126227;>=60 anos
2010;4263;1743;0;1024;779;0,4088670;>=60 anos
2011;4704;1830;0;1223;878;0,3890306;>=60 anos
2012;4683;1677;0;1200;777;0,3581038;>=60 anos
2013;5285;1784;0;1302;958;0,3375591;>=60 anos
2014;5491;1709;0;1395;977;0,3112366;>=60 anos
2015;5579;1599;0;1495;967;0,2866105;>=60 anos
2016;5261;1389;0;1480;935;0,2640182;>=60 anos
2017;4796;1014;0;1326;753;0,2114262;>=60 anos
2018;2325; 427;0; 635;398;0,1836559;>=60 anos
2000; 884; 427;0; 230;152;0,4830317;<60 anos
2001;1053; 479;0; 278;161;0,4548908;<60 anos
2002;1335; 571;0; 334;215;0,4277154;<60 anos
2003;1498; 697;0; 385;265;0,4652870;<60 anos
2004;1700; 730;0; 396;256;0,4294118;<60 anos
2005;2019; 824;0; 549;319;0,4081228;<60 anos
2006;2196; 828;0; 633;325;0,3770492;<60 anos
2007;2431; 844;0; 681;294;0,3471822;<60 anos
2008;2730; 942;0; 798;372;0,3450549;<60 anos
2009;3070;1012;0; 853;388;0,3296417;<60 anos
2010;3405;1182;0; 967;467;0,3471366;<60 anos
2011;3766;1196;0;1110;477;0,3175783;<60 anos
2012;3656;1107;0;1117;480;0,3027899;<60 anos
2013;4075;1162;0;1249;545;0,2851534;<60 anos
2014;4161;1033;0;1200;459;0,2482576;<60 anos
2015;4102;1003;0;1263;483;0,2445149;<60 anos
2016;3848; 789;0;1180;489;0,2050416;<60 anos
2017;3423; 617;0;1082;410;0,1802512;<60 anos
2018;1498; 157;0; 416;143;0,1048064;<60 anos
