dtpricon;pop;obitos;estadio4;obito1ano;letalidade;idosos
2000; 884; 427; 230;152;0,4830317;<60 anos
2001;1053; 479; 278;161;0,4548908;<60 anos
2002;1335; 571; 334;215;0,4277154;<60 anos
2003;1498; 697; 385;265;0,4652870;<60 anos
2004;1700; 730; 396;256;0,4294118;<60 anos
2005;2019; 824; 549;319;0,4081228;<60 anos
2006;2196; 828; 633;325;0,3770492;<60 anos
2007;2431; 844; 681;294;0,3471822;<60 anos
2008;2730; 942; 798;372;0,3450549;<60 anos
2009;3070;1012; 853;388;0,3296417;<60 anos
2010;3405;1182; 967;467;0,3471366;<60 anos
2011;3766;1196;1110;477;0,3175783;<60 anos
2012;3656;1107;1117;480;0,3027899;<60 anos
2013;4075;1162;1249;545;0,2851534;<60 anos
2014;4161;1033;1200;459;0,2482576;<60 anos
2015;4102;1003;1263;483;0,2445149;<60 anos
2016;3848; 789;1180;489;0,2050416;<60 anos
2017;3423; 617;1082;410;0,1802512;<60 anos
2018;1498; 157; 416;143;0,1048064;<60 anos
