dtpricon;POP;idosos;obitos;Menores60;Entre6080;Maiores80;estadio4;obitoate1ano;tempo60;cirurgia;colon;juncao;reto;colon_asc;colon_desc;mulheres;homens;sudeste;sul;norte;nordeste;centroeste;sp;rj;alcool_nunca;tabagismo_nunca
2000;1917;1033;1045; 884;0; 74; 462; 359;1454;1267;1020; 76; 821; 229; 330; 967; 950;1629; 102; 13; 157; 16;1283;145;0;0
2001;2216;1163;1146;1053;0;113; 570; 405;1606;1473;1107;128; 981; 254; 385;1138;1078;1727; 173; 36; 265; 15;1417; 69;0;0
2002;2922;1587;1496;1335;0;149; 703; 579;2041;1858;1459;182;1281; 324; 460;1508;1414;2150; 382; 51; 315; 24;1769;100;0;0
2003;3232;1734;1678;1498;0;184; 784; 647;2362;2129;1613;230;1389; 342; 513;1634;1598;2346; 498; 64; 283; 41;1937;106;0;0
2004;3683;1983;1830;1700;0;227; 885; 723;2632;2394;1787;307;1589; 399; 557;1807;1876;2595; 651; 72; 311; 54;2137;125;0;0
2005;4543;2524;2155;2019;0;264;1128; 875;3201;2908;2229;366;1948; 476; 800;2320;2223;3166; 822; 78; 434; 43;2555;187;0;0
2006;4836;2640;2020;2196;0;291;1273; 829;3246;3041;2383;384;2069; 579; 856;2429;2407;3020;1103; 83; 578; 52;2382;139;0;0
2007;5280;2849;2066;2431;0;311;1392; 814;3547;3377;2635;407;2238; 638; 976;2674;2606;3446;1186; 84; 488; 76;2479;161;0;0
2008;5969;3239;2279;2730;0;329;1569; 960;3882;3898;3006;442;2521; 753;1230;3028;2941;3833;1245;110; 648;133;2907;124;0;0
2009;6635;3565;2483;3070;0;428;1749;1036;4074;4252;3359;455;2821; 812;1321;3321;3314;4266;1279;141; 817;132;3148;213;0;0
2010;7668;4263;2925;3405;0;500;1991;1246;4733;4974;3986;599;3083; 934;1427;3799;3869;4743;1701;134; 896;194;3611;183;0;0
2011;8470;4704;3026;3766;0;525;2333;1355;5062;5448;4417;685;3368; 977;1518;4128;4342;5259;1857;141;1051;162;3901;302;0;0
2012;8339;4683;2784;3656;0;545;2317;1257;4800;5343;4373;726;3240; 916;1485;4106;4233;5012;1866;171;1127;163;3765;348;0;0
2013;9360;5285;2946;4075;0;667;2551;1503;5556;5774;4952;784;3624;1033;1758;4612;4748;5630;2027;157;1302;244;4068;323;0;0
2014;9652;5491;2742;4161;0;631;2595;1436;5528;6059;5026;899;3727;1096;1699;4702;4950;5909;2139;206;1188;210;4252;291;0;0
2015;9681;5579;2602;4102;0;591;2758;1450;5227;5939;5245;801;3635;1124;1885;4755;4926;5667;2199;209;1341;265;3904;254;0;0
2016;9109;5261;2178;3848;0;592;2660;1424;5173;5440;5063;748;3298;1073;1732;4430;4679;4920;2440;268;1278;203;3080;162;0;0
2017;8219;4796;1631;3423;0;496;2408;1163;4527;4786;4563;614;3042; 920;1581;3993;4226;4565;2224;286; 954;190;2856;165;0;0
2018;3823;2325; 584;1498;0;251;1051; 541;2019;2131;2016;329;1478; 469; 657;1874;1949;2998; 472; 68; 285;  0;1675;  4;0;0
